         3006626 function calls (2810665 primitive calls) in 18.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      327    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
        2    0.001    0.001   32.494   16.247 PARAM.py:1(<module>)
      955    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      221    0.001    0.000    0.007    0.000 sre_compile.py:223(_compile_charset)
       50    0.001    0.000    0.003    0.000 random.py:285(sample)
     1338    0.001    0.000    0.001    0.000 sre_parse.py:285(tell)
      403    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      410    0.001    0.000    0.009    0.000 pyparsing.py:1417(copy)
      224    0.001    0.000    0.002    0.000 enum.py:70(__setitem__)
    59/22    0.001    0.000    0.003    0.000 abc.py:196(__subclasscheck__)
       40    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      378    0.001    0.000    0.230    0.001 <frozen importlib._bootstrap_external>:1149(find_spec)
    540/5    0.001    0.000   18.353    3.671 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      244    0.001    0.000    0.001    0.000 sre_parse.py:342(_escape)
       21    0.001    0.000    0.002    0.000 enum.py:160(<setcomp>)
      410    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.001    0.001    0.656    0.656 pyplot.py:19(<module>)
     4272    0.001    0.000    0.001    0.000 inspect.py:2502(name)
        3    0.001    0.000    0.209    0.070 __init__.py:7(<module>)
     2338    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1242    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     1165    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      503    0.001    0.000    0.039    0.000 re.py:179(search)
       41    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      223    0.001    0.000    0.001    0.000 posixpath.py:75(join)
       54    0.001    0.000    0.004    0.000 __init__.py:891(_open_file_or_url)
        1    0.001    0.001    0.007    0.007 core.py:21(<module>)
     1616    0.001    0.000    0.001    0.000 sre_parse.py:159(__len__)
     2338    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      653    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
     2004    0.001    0.000    0.001    0.000 _iotools.py:11(_decode_line)
      654    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      180    0.001    0.000    0.001    0.000 sre_parse.py:223(__init__)
      327    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
       50    0.001    0.000   13.394    0.268 <string>:248(RUN)
     1546    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        1    0.001    0.001    0.172    0.172 __init__.py:5(<module>)
        1    0.001    0.001    0.006    0.006 pyplot.py:2024(_setup_pyplot_info_docstrings)
      494    0.001    0.000    0.162    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      179    0.001    0.000    0.036    0.000 sre_compile.py:542(_code)
       87    0.001    0.000    0.001    0.000 docstring.py:38(__call__)
       19    0.001    0.000    0.015    0.001 rcsetup.py:879(validate_cycler)
      179    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       50    0.001    0.000    0.001    0.000 shape_base.py:24(atleast_1d)
       82    0.001    0.000    0.002    0.000 inspect.py:536(_finddoc)
  263/261    0.001    0.000    0.001    0.000 pyparsing.py:554(__init__)
      470    0.001    0.000    0.001    0.000 {method 'mro' of 'type' objects}
     1165    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
      192    0.001    0.000    0.008    0.000 sre_parse.py:96(closegroup)
     1845    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       15    0.001    0.000    0.001    0.000 arrayprint.py:1466(_guarded_repr_or_str)
        1    0.001    0.001    0.029    0.029 numeric.py:1(<module>)
      218    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
      381    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
       36    0.001    0.000    0.010    0.000 __init__.py:1494(_add_data_doc)
        1    0.001    0.001    0.028    0.028 _axes.py:97(Axes)
      312    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.190    0.190 _subplots.py:1(<module>)
        7    0.001    0.000    0.002    0.000 enum.py:625(<listcomp>)
      491    0.001    0.000    0.009    0.000 colors.py:120(is_color_like)
      331    0.001    0.000    0.002    0.000 font_manager.py:883(_json_decode)
       50    0.001    0.000    0.004    0.000 shape_base.py:286(hstack)
        5    0.001    0.000    0.143    0.029 subprocess.py:608(__init__)
        1    0.001    0.001    0.047    0.047 multiarray.py:7(<module>)
      254    0.001    0.000    0.008    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
     1516    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      329    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       67    0.001    0.000    0.003    0.000 pyparsing.py:3995(__init__)
      179    0.001    0.000    0.002    0.000 sre_parse.py:828(fix_flags)
      408    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
       19    0.001    0.000    0.012    0.001 enum.py:366(_create_)
      828    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      381    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
       83    0.001    0.000    0.002    0.000 pyparsing.py:3854(__init__)
      616    0.001    0.000    0.001    0.000 _inspect.py:13(ismethod)
      139    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      150    0.001    0.000    0.024    0.000 cm.py:81(_generate_cmap)
        8    0.001    0.000    0.002    0.000 __init__.py:1932(_define_aliases)
      572    0.001    0.000    0.001    0.000 <string>:12(__new__)
     2156    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      378    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:780(find_spec)
        1    0.001    0.001    0.052    0.052 pyparsing.py:96(<module>)
      744    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      398    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
      111    0.001    0.000    0.008    0.000 rcsetup.py:90(<listcomp>)
     2665    0.001    0.000    0.001    0.000 inspect.py:2514(kind)
      192    0.001    0.000    0.001    0.000 sre_parse.py:84(opengroup)
     2208    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      669    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       86    0.001    0.000    0.001    0.000 {built-in method _locale.nl_langinfo}
     72/4    0.001    0.000    0.003    0.001 pyparsing.py:1829(_parseCache)
      362    0.001    0.000    0.001    0.000 rcsetup.py:118(validate_bool)
      139    0.001    0.000    0.001    0.000 codecs.py:318(decode)
        1    0.001    0.001    0.008    0.008 mathtext.py:2838(<listcomp>)
       41    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      378    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
       50    0.000    0.000    0.005    0.000 morphology.py:78(gen_excitons)
       43    0.000    0.000    0.001    0.000 os.py:664(__getitem__)
       27    0.000    0.000    0.020    0.001 pyparsing.py:3278(__init__)
